reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VSG74-B1DS2;276;460;460;331,2;552;;;0,3
VSV70-A1DS2;240;400;400;288;480;;;0,3
VSV70-B1DS2;276;460;460;331,2;552;;;0,3
SKR00-AVB00;112;160;160;134,4;192;;;0,2
VSR74-C1SA4;600;800;800;720;960;;;0,15
VSE10-C1AA1;562,5;750;750;675;900;;;0,15
VSE10-C1AS1;562,5;750;750;675;900;;;0,15
GSR56-8USS2;360;480;480;432;576;;;0,15
VSR42-D1SS3;712,5;950;950;855;1140;;;0,15
GSE20-81SS2;367,5;490;490;441;588;;;0,15
SKE20-G1B00;119;170;170;142,8;204;;;0,2
VSE20-C1SA4;532,5;710;710;639;852;;;0,15
SKE32-G1B00;112;160;160;134,4;192;;;0,2
SKE32-S3B00;112;160;160;134,4;192;;;0,2
GSR10-71SS4;975;1300;1300;1170;1560;;;0,15
GSR10-91SS2;420;560;560;504;672;;;0,15
VSR10-C1SA4;532,5;710;710;639;852;;;0,15
SKR38-AVB00;91;130;130;109,2;156;;;0,2
SKR38-S3B00;91;130;130;109,2;156;;;0,2
GSR52-71SS4;975;1300;1300;1170;1560;;;0,15
GSR52-8USS2;367,5;490;490;441;588;;;0,15
VSR52-K1LS4;1200;1600;1600;1440;1920;;;0,15
VSR84-C1SA4;532,5;710;710;639;852;;;0,15
DSR52-W1LS2;1125;1500;1500;1350;1800;;;0,15
DSR84-81LS1;2175;2900;2900;2610;3480;;;0,15
GSR52-91SS2;420;560;560;504;672;;;0,15
SKR52-AVB00;98;140;140;117,6;168;;;0,2
GSE18-71SS4;975;1300;1300;1170;1560;;;0,15
VSE18-C1SA4;532,5;710;710;639;852;;;0,15
VSE18-C1SS4;532,5;710;710;639;852;;;0,15
VSE18-K1LS4;1200;1600;1600;1440;1920;;;0,15
SKE18-AVB00;112;160;160;134,4;192;;;0,2
SKE18-S3B00;112;160;160;134,4;192;;;0,2
VSE48-F1SS2;450;750;750;540;900;;;0,3
VSE50-F1SS2;408;680;680;489,6;816;;;0,3
VSE20-A1DS2;240;400;400;288;480;;;0,3
VSE20-B1DS2;276;460;460;331,2;552;;;0,3
VSE32-A1DS2;240;400;400;288;480;;;0,3
VSE32-B1DS2;276;460;460;331,2;552;;;0,3
VSR52-A1DS2;264;440;440;316,8;528;;;0,3
VSR52-B1DS2;300;500;500;360;600;;;0,3
VSE18-A1DS2;270;450;450;324;540;;;0,3
VSE18-B1DS2;306;510;510;367,2;612;;;0,3
VSR98-A1DS2;240;400;400;288;480;;;0,3
VSR98-B1DS2;276;460;460;331,2;552;;;0,3
VSRA4-A1DS2;204;340;340;244,8;408;;;0,3
VSRA4-B1DS2;240;400;400;288;480;;;0,3
