"Manufacturer","Price","Reference","Name","EAN13","Category","Weight","Height","Width","Length"
"Mishimoto","18.00","MMAPL-SCRIPT-BKL","Mishimoto Mens Athletic Script T-Shirt, Black, Large","748354009385","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-BKM","Mishimoto Mens Athletic Script T-Shirt, Black.Medium","748354009378","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-BKS","Mishimoto Mens Athletic Script T-Shirt, Black, Small","748354009361","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-BKXL","Mishimoto Mens Athletic Script T-Shirt, Black, XL","748354009392","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-GYL","Mishimoto Mens Athletic Script T-Shirt, Gray, Large","748354009347","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-GYM","Mishimoto Mens Athletic Script T-Shirt, Gray, Medium","748354009330","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-GYS","Mishimoto Mens Athletic Script T-Shirt, Gray, Small","748354009323","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","18.00","MMAPL-SCRIPT-GYXL","Mishimoto Mens Athletic Script T-Shirt, Gray, XL","748354009354","Apparel, Gifts & Promo","0.5","0.2","5","3"
"Mishimoto","13.00","MMAPL-SCRIPT-TTBKM","Mishimoto Womenâ€™s Athletic Script Tank Top, Black, Medium","811580033681","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","13.00","MMAPL-SCRIPT-TTBKSM","Mishimoto Womenâ€™s Athletic Script Tank Top, Black, Small","811580033698","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","13.00","MMAPL-SCRIPT-TTWTM","Mishimoto Womenâ€™s Athletic Script Tank Top, White, Medium","811580033704","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","13.00","MMAPL-SCRIPT-TTWTSM","Mishimoto Women's Athletic Script Tank Top, White, Small","811580033711","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","18.00","MMAPL-TDYE-TWHM","Mishimoto Smoking Tires Tie Dye T-Shirt, White, Medium","840197706879","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-TDYE-TWHS","Mishimoto Smoking Tires Tie Dye T-Shirt, White, Small","840197706862","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-TDYE-TWHXL","Mishimoto Smoking Tires Tie Dye T-Shirt, White, XL","840197706893","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","55.00","MMAPL-ZHOOD-EMBRBKL","Mishimoto Embroidered/Silk Screen Combo Zip-Up Hoodie","840197700181","Apparel, Gifts & Promo","0","2","12","0"
